913,원익,"4,810",20,+0.42%,500,"575,330",875,12.57,49.25,5.05,
914,엠에스씨,"4,965",5,+0.10%,500,"50,282",874,3.20,8.86,0.61,
915,쎄노텍,"2,175",65,-2.90%,100,"705,191",873,-13.99,92.84,0.79,
916,빅솔론,"4,515",95,-2.06%,500,"60,066",869,-0.47,-24.59,10.30,
917,팜스빌,"10,950",50,+0.46%,500,"31,681",868,51.02,26.88,0.22,
918,동우팜투테이블,"3,355",15,+0.45%,500,"501,580",867,N/A,N/A,1.87,
919,TS인베스트먼트,"3,560",10,-0.28%,500,"342,312",866,N/A,N/A,0.35,
920,대림제지,"9,600",170,-1.74%,500,"127,690",864,18.23,-31.59,2.81,
921,유아이엘,"3,965",5,+0.13%,500,"120,208",864,-3.57,5.88,8.15,
922,성호전자,"1,635",85,+5.48%,500,"2,892,970",862,8.68,"-2,167.90",1.89,
923,세종메디칼,"12,700",450,-3.42%,500,"159,881",861,9.42,17.81,1.97,
924,에프엔씨엔터,"5,990",10,+0.17%,500,"26,224",860,13.75,17.76,0.46,
925,코퍼스코리아,"2,505",60,+2.45%,100,"423,374",859,N/A,N/A,0.11,
926,KB오토시스,"7,470",100,-1.32%,500,"80,673",859,-2.68,-12.94,34.02,
927,로보로보,"4,815",105,+2.23%,100,"1,488,188",857,-20.18,-95.75,2.45,
928,윌링스,"17,600","1,100",+6.67%,500,"103,220",856,-21.09,-32.29,1.69,
929,MP한강,"1,320",50,-3.65%,100,"1,354,077",853,N/A,N/A,0.26,
930,케이맥,"2,290",115,-4.78%,100,"1,117,479",851,-41.04,-178.64,2.34,
931,예선테크,"2,575",35,+1.38%,100,"1,350,439",850,3.85,-16.19,0.65,
932,아이에이네트웍스,"1,720",140,+8.86%,100,"2,876,175",849,-41.02,-43.82,0.47,
933,푸른기술,"12,900",550,+4.45%,500,"1,237,130",848,-6.21,-36.27,0.55,
934,한송네오텍,"1,760",40,+2.33%,100,"1,950,817",848,-43.87,-47.97,1.00,
935,피씨디렉트,"11,050",50,-0.45%,500,"60,875",847,16.06,20.19,0.35,
936,우리넷,"9,270",0,0.00%,500,"58,945",847,N/A,N/A,0.31,
937,서암기계공업,"6,720","1,010",+17.69%,500,"19,450,965",847,-9.44,-51.00,1.85,
938,한빛소프트,"3,410",10,+0.29%,500,"140,105",845,17.12,-146.43,1.66,
939,코리아에프티,"3,035",60,-1.94%,100,"940,172",845,13.07,20.91,36.12,
940,아이오케이,"1,520",25,-1.62%,500,"1,159,930",844,63.89,110.06,0.50,
941,유성티엔에스,"3,100",185,+6.35%,500,"1,403,102",844,-8.88,33.33,0.31,
942,에쎈테크,"1,170",0,0.00%,500,"306,871",842,-12.05,-83.39,0.55,
943,포비스티앤씨,973,0,0.00%,500,0,842,30.64,310.20,1.71,
944,와이즈버즈,"1,765",45,+2.62%,100,"843,921",839,N/A,-5.09,0.03,
945,한국선재,"3,415",35,-1.01%,500,"423,851",837,-3.73,-7.37,0.66,
946,소프트캠프,"3,350",35,-1.03%,100,"858,040",837,N/A,N/A,0.10,
947,오공,"4,940",25,+0.51%,500,"234,934",837,0.84,18.85,1.54,
948,와이제이엠게임즈,"1,545",30,+1.98%,100,"528,699",837,2.77,144.24,1.46,
949,미래나노텍,"3,365",5,+0.15%,500,"420,717",835,4.18,-63.64,5.03,
950,위세아이텍,"18,700",900,+5.06%,500,"76,111",833,19.16,69.84,5.36,
