	종목명	현재가	전일비	등락률	액면가	거래량	시가총액	매출액증가율	영업이익증가율	외국인 비중
819	한독크린텍	"25,000"	250	-0.99%	500	"26,560"	"1,023"	22.04	23.61	1.74
846	정상제이엘에스	"6,170"	0	0.00%	500	"46,328"	967	7.44	23.03	1.67
1333	패션플랫폼	"1,350"	0	0.00%	100	"155,592"	360	6.83	21.11	2.11
944	코리아에프티	"3,040"	5	0.16%	100	"853,284"	846	13.07	20.91	35.82
942	피씨디렉트	"11,050"	0	0.00%	500	"33,443"	847	16.06	20.19	0.36
881	보성파워텍	"1,990"	20	-1.00%	500	"513,186"	917	5.62	19.85	1.35
1187	삼일기업공사	"4,430"	165	3.87%	500	"616,271"	549	35.74	19.45	2.48
943	오공	"5,000"	60	1.21%	500	"317,022"	847	0.84	18.85	1.75
914	세종메디칼	"12,950"	250	1.97%	500	"80,310"	878	9.42	17.81	1.8
1258	골든센츄리	288	4	1.41%	0	"1,109,210"	457	28.13	17.78	35.27
935	에프엔씨엔터	"5,940"	50	-0.83%	500	"24,419"	853	13.75	17.76	0.47
919	에이트원	"5,430"	280	-4.90%	100	"246,704"	873	70.19	17.43	1.54
1230	코리아에셋투자증권	"7,800"	250	3.31%	"5,000"	"465,085"	498	31.53	17.38	0.73
1060	애니젠	"14,000"	100	-0.71%	500	"64,561"	702	52.56	17.3	1.12
1032	린드먼아시아	"5,410"	90	1.69%	500	"87,645"	730	5.19	15.39	1.56
1040	푸드웰	"7,220"	40	0.56%	500	"398,347"	722	16.28	14.97	1.58
1379	조이맥스	"2,865"	10	-0.35%	500	"46,317"	244	6.04	13.69	1.11
1260	지란지교시큐리티	"5,500"	40	-0.72%	500	"37,656"	457	13.39	13.57	2.01
1398	이미지스	"2,555"	85	3.44%	500	"100,307"	196	11.04	12.93	0.62
995	티플랙스	"3,215"	10	0.31%	500	"733,607"	780	7.85	12.26	2.6
1180	솔루에타	"4,285"	55	-1.27%	500	"815,880"	556	12.78	11.66	5.61
879	삼양옵틱스	"9,140"	30	-0.33%	500	"63,975"	922	5.18	11.21	0.82
1377	웹스	"1,850"	20	1.09%	500	"74,196"	253	0.16	10.89	4.17
1108	이상네트웍스	"7,130"	50	0.71%	500	"14,878"	643	8.23	10.28	20.15
918	엠에스씨	"4,960"	5	-0.10%	500	"48,476"	873	3.2	8.86	0.61
1001	현우산업	"5,010"	75	1.52%	500	"4,164,603"	772	14.02	8.59	0.42
1048	케이씨에스	"5,960"	40	-0.67%	500	"134,840"	715	18.63	8.43	0.93
1469	스타모빌리티	505	0	0.00%	500	0	61	107.25	8.43	4.28
1013	유니온커뮤니티	"5,100"	770	17.78%	500	"11,635,490"	749	13.94	7.73	7.68
1190	희림	"3,925"	15	0.38%	500	"26,882"	546	5.36	6.39	0.8
1354	대동기어	"3,525"	220	-5.87%	500	"84,912"	317	8.4	5.14	0.02
1056	한국바이오젠	"8,640"	190	2.25%	200	"399,380"	705	12.73	5.01	1.97
1350	GV	430	0	0.00%	500	0	323	10.33	4.51	0.34
854	케이피에프	"5,380"	60	-1.10%	500	"375,334"	953	0.33	2.82	1.06
1274	누리플랜	"6,400"	220	-3.32%	500	"180,406"	439	91.51	2.16	0.6
1081	한국가구	"4,520"	30	0.67%	100	"46,434"	678	8.98	2.05	0.62
851	정산애강	"1,845"	25	-1.34%	500	"178,737"	956	9.89	1.75	2.32
